NO_OF_FRAMES	438
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:08:24.823	197801.91540150
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
105	1.04000	1415.464	-490.691	1369.098	1485.218	-519.353	1077.357	1652.491	-372.225	943.353	1767.945	-284.279	877.537	1700.758	-277.348	879.330
106	1.05000	1415.253	-490.787	1369.261	1485.174	-519.405	1077.421	1652.519	-372.289	943.458	1767.863	-284.329	877.594	1700.681	-277.347	879.313
107	1.06000	1415.149	-490.702	1369.349	1485.136	-519.390	1077.542	1652.562	-372.377	943.523	1767.659	-284.418	877.500	1700.558	-277.391	879.285
108	1.07000	1414.944	-490.711	1369.399	1485.075	-519.360	1077.643	1652.685	-372.524	943.711	1767.527	-284.374	877.466	1700.430	-277.380	879.309
109	1.08000	1414.823	-490.623	1369.520	1485.070	-519.362	1077.752	1652.671	-372.472	943.669	1767.415	-284.381	877.441	1700.364	-277.465	879.294
110	1.09000	1414.658	-490.582	1369.614	1485.044	-519.280	1077.927	1652.783	-372.637	943.883	1767.318	-284.359	877.408	1700.244	-277.526	879.267
111	1.10000	1414.481	-490.535	1369.756	1485.033	-519.206	1078.125	1652.714	-372.812	943.894	1767.166	-284.354	877.323	1700.187	-277.620	879.294
112	1.11000	1414.260	-490.518	1369.896	1485.007	-519.171	1078.348	1652.780	-372.834	943.993	1767.076	-284.400	877.345	1700.064	-277.663	879.267
113	1.12000	1413.999	-490.456	1369.993	1485.013	-519.053	1078.565	1652.965	-373.014	944.151	1767.018	-284.412	877.347	1700.000	-277.766	879.251
114	1.13000	1413.797	-490.463	1370.086	1485.067	-518.923	1078.722	1653.051	-373.024	944.319	1766.995	-284.395	877.341	1699.930	-277.700	879.258
115	1.14000	1413.549	-490.426	1370.261	1485.171	-518.877	1078.901	1653.117	-373.013	944.392	1766.855	-284.391	877.339	1699.872	-277.774	879.286
116	1.15000	1413.347	-490.235	1370.500	1485.221	-518.858	1079.110	1653.146	-373.063	944.475	1766.772	-284.370	877.397	1699.893	-277.849	879.320
117	1.16000	1413.140	-490.119	1370.609	1485.306	-518.914	1079.388	1653.250	-373.131	944.563	1766.691	-284.385	877.460	1699.675	-277.771	879.336
118	1.17000	1412.896	-490.011	1370.777	1485.433	-518.780	1079.698	1653.273	-373.203	944.619	1766.573	-284.416	877.540	1699.643	-277.858	879.381
119	1.18000	1412.630	-489.952	1370.981	1485.586	-518.794	1079.926	1653.317	-373.300	944.648	1766.436	-284.448	877.734	1699.544	-277.856	879.463
120	1.19000	1412.327	-489.768	1371.192	1485.764	-518.848	1080.248	1653.320	-373.515	944.631	1766.475	-284.501	878.274	1700.280	-279.224	880.003
121	1.20000	1411.918	-489.636	1371.371	1485.924	-518.951	1080.552	1653.281	-373.601	944.664	1766.267	-284.506	878.744	1700.157	-279.491	880.075
122	1.21000	1411.462	-489.485	1371.571	1486.062	-519.072	1080.898	1653.217	-373.774	944.769	1766.218	-284.557	879.498	1700.190	-279.486	880.232
123	1.22000	1411.096	-489.390	1371.821	1486.259	-519.209	1081.279	1653.185	-373.976	944.883	1766.127	-284.576	880.344	1700.218	-279.764	880.340
124	1.23000	1410.622	-489.279	1371.992	1486.371	-519.304	1081.728	1653.173	-374.212	945.204	1766.201	-284.589	881.500	1700.233	-279.903	880.406
125	1.24000	1410.205	-489.050	1372.277	1486.383	-519.531	1082.105	1653.141	-374.371	945.639	1765.988	-284.816	882.179	1700.418	-280.064	880.571
126	1.25000	1409.683	-488.984	1372.459	1486.278	-519.933	1082.612	1653.115	-374.426	946.342	1766.032	-284.898	883.167	1700.561	-280.211	880.799
