NO_OF_FRAMES	963
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:07:27.539	197744.62702840
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
115	1.14000	1183.687	-525.982	1405.070	1154.298	-594.187	1097.308	1325.645	-502.641	932.255	1444.660	-480.950	873.684	1426.452	-463.480	876.968
116	1.15000	1183.720	-526.019	1405.035	1154.316	-594.201	1097.289	1325.634	-502.610	932.240	1444.649	-480.909	873.662	1426.437	-463.474	876.911
117	1.16000	1183.755	-525.981	1405.056	1154.323	-594.213	1097.329	1325.633	-502.621	932.225	1444.631	-480.907	873.653	1426.447	-463.447	876.888
118	1.17000	1183.784	-526.017	1405.035	1154.305	-594.206	1097.322	1325.618	-502.642	932.217	1444.635	-480.913	873.635	1426.446	-463.469	876.927
119	1.18000	1183.797	-526.073	1405.058	1154.339	-594.196	1097.307	1325.639	-502.578	932.228	1444.653	-480.946	873.664	1426.435	-463.486	876.938
120	1.19000	1183.799	-526.094	1405.058	1154.340	-594.196	1097.314	1325.672	-502.598	932.249	1444.661	-480.922	873.682	1426.434	-463.465	876.939
121	1.20000	1183.887	-526.087	1405.077	1154.361	-594.228	1097.329	1325.660	-502.612	932.239	1444.632	-480.906	873.647	1426.501	-463.475	876.945
122	1.21000	1183.933	-526.116	1405.074	1154.355	-594.219	1097.341	1325.681	-502.638	932.243	1444.677	-480.962	873.652	1426.454	-463.451	876.941
123	1.22000	1183.985	-526.112	1405.062	1154.361	-594.263	1097.314	1325.658	-502.613	932.224	1444.638	-480.912	873.639	1426.464	-463.454	876.945
124	1.23000	1183.983	-526.149	1405.049	1154.393	-594.255	1097.295	1325.675	-502.639	932.203	1444.609	-480.901	873.593	1426.452	-463.457	876.905
125	1.24000	1184.043	-526.175	1405.050	1154.400	-594.282	1097.298	1325.687	-502.624	932.209	1444.628	-480.938	873.582	1426.424	-463.452	876.900
126	1.25000	1184.050	-526.192	1405.045	1154.417	-594.267	1097.321	1325.639	-502.654	932.181	1444.644	-480.914	873.640	1426.430	-463.482	876.936
127	1.26000	1184.066	-526.232	1405.089	1154.415	-594.292	1097.320	1325.671	-502.667	932.223	1444.671	-480.953	873.688	1426.467	-463.503	876.957
128	1.27000	1184.112	-526.220	1405.101	1154.438	-594.291	1097.342	1325.654	-502.657	932.233	1444.628	-480.944	873.726	1426.454	-463.511	876.969
129	1.28000	1184.154	-526.227	1405.086	1154.438	-594.321	1097.314	1325.667	-502.671	932.246	1444.683	-480.947	873.675	1426.479	-463.491	876.965
130	1.29000	1184.148	-526.261	1405.098	1154.431	-594.330	1097.324	1325.720	-502.648	932.218	1444.654	-480.925	873.662	1426.428	-463.501	876.901
131	1.30000	1184.176	-526.269	1405.101	1154.447	-594.300	1097.317	1325.705	-502.660	932.190	1444.603	-480.929	873.615	1426.423	-463.478	876.899
132	1.31000	1184.207	-526.301	1405.110	1154.458	-594.337	1097.354	1325.676	-502.666	932.147	1444.638	-480.907	873.621	1426.444	-463.452	876.916
133	1.32000	1184.237	-526.325	1405.125	1154.469	-594.373	1097.315	1325.656	-502.680	932.204	1444.677	-480.936	873.653	1426.421	-463.474	876.909
134	1.33000	1184.234	-526.340	1405.131	1154.507	-594.362	1097.300	1325.668	-502.654	932.180	1444.610	-480.933	873.656	1426.446	-463.473	876.928
135	1.34000	1184.262	-526.346	1405.109	1154.501	-594.370	1097.321	1325.678	-502.666	932.238	1444.659	-480.948	873.630	1426.525	-463.478	876.981
136	1.35000	1184.288	-526.367	1405.120	1154.499	-594.369	1097.333	1325.665	-502.663	932.173	1444.663	-480.922	873.670	1426.478	-463.503	876.952
137	1.36000	1184.301	-526.366	1405.104	1154.496	-594.381	1097.323	1325.690	-502.665	932.182	1444.684	-480.936	873.659	1426.447	-463.496	876.910
138	1.37000	1184.342	-526.401	1405.096	1154.496	-594.386	1097.290	1325.650	-502.693	932.152	1444.611	-480.903	873.599	1426.461	-463.459	876.928
139	1.38000	1184.361	-526.434	1405.068	1154.488	-594.426	1097.322	1325.653	-502.672	932.137	1444.629	-480.923	873.616	1426.460	-463.490	876.909
140	1.39000	1184.368	-526.448	1405.072	1154.465	-594.416	1097.311	1325.651	-502.686	932.154	1444.582	-480.921	873.625	1426.434	-463.470	876.915
141	1.40000	1184.440	-526.446	1405.032	1154.490	-594.414	1097.302	1325.666	-502.713	932.168	1444.685	-480.926	873.677	1426.468	-463.534	876.939
142	1.41000	1184.422	-526.486	1405.062	1154.497	-594.427	1097.287	1325.647	-502.709	932.157	1444.657	-480.948	873.671	1426.456	-463.512	876.964
143	1.42000	1184.419	-526.513	1405.055	1154.487	-594.430	1097.295	1325.678	-502.692	932.130	1444.685	-480.958	873.670	1426.418	-463.497	876.899
144	1.43000	1184.493	-526.500	1405.082	1154.513	-594.451	1097.312	1325.686	-502.701	932.141	1444.643	-480.931	873.620	1426.478	-463.505	876.922
145	1.44000	1184.497	-526.558	1405.042	1154.520	-594.463	1097.291	1325.693	-502.679	932.153	1444.654	-480.898	873.642	1426.442	-463.485	876.898
146	1.45000	1184.531	-526.547	1405.053	1154.550	-594.458	1097.284	1325.673	-502.689	932.133	1444.609	-480.908	873.626	1426.442	-463.468	876.907
147	1.46000	1184.568	-526.583	1405.077	1154.553	-594.464	1097.289	1325.662	-502.728	932.140	1444.664	-480.944	873.638	1426.453	-463.475	876.948
148	1.47000	1184.607	-526.591	1405.053	1154.544	-594.493	1097.285	1325.667	-502.729	932.153	1444.657	-480.917	873.665	1426.492	-463.485	876.959
149	1.48000	1184.639	-526.608	1405.064	1154.565	-594.520	1097.281	1325.699	-502.716	932.148	1444.614	-480.931	873.648	1426.503	-463.496	876.954
150	1.49000	1184.619	-526.640	1405.048	1154.559	-594.511	1097.249	1325.661	-502.744	932.115	1444.662	-480.935	873.653	1426.440	-463.531	876.939
151	1.50000	1184.669	-526.646	1405.018	1154.543	-594.537	1097.250	1325.615	-502.742	932.117	1444.615	-480.907	873.618	1426.415	-463.456	876.919
152	1.51000	1184.684	-526.657	1405.003	1154.548	-594.546	1097.238	1325.626	-502.758	932.109	1444.577	-480.901	873.598	1426.425	-463.508	876.917
